LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713515512.985645,445551,5251,1,HR,1,100,57
1713515514.199640,446765,5449,1,HR,1,100,55
1713515515.598635,448164,5670,1,HR,1,100,52
1713515516.052634,448618,5737,1,HR,1,100,71
1713515516.852631,449418,5870,1,HR,1,100,72
1713515517.771627,450337,6019,1,HR,1,100,70
1713515519.145622,451711,6251,1,HR,1,100,65
1713515519.545621,452111,6320,1,HR,1,100,84
1713515521.998612,454564,6718,1,HR,1,100,70
1713515523.051609,455617,6884,1,HR,1,100,68
1713515523.411607,455977,6935,1,HR,1,100,90
1713515524.091605,456657,7051,1,HR,1,100,89
1713515525.264601,457830,7252,1,HR,1,100,81
1713515526.064598,458630,7373,1,HR,1,100,80
1713515528.117590,460683,7704,1,HR,1,100,68
1713515530.130583,462696,8036,1,HR,1,100,60
1713515532.423575,464989,8419,1,HR,1,100,52
1713515533.437571,466003,8585,1,HR,1,100,54
1713515539.263550,471829,9524,1,HR,1,100,44
1713515542.489539,475055,10065,1,HR,1,100,39
1713515544.142533,476708,10328,1,HR,1,100,38
1713515545.022530,477588,10478,1,HR,1,100,45
1713515545.542528,478108,10563,1,HR,1,100,61
1713515545.795527,478361,10597,1,HR,1,100,103
1713515546.275525,478841,10687,1,HR,1,100,108
1713515546.835523,479401,10792,1,HR,1,100,108
1713515547.969519,480535,10973,1,HR,1,100,96
1713515548.368518,480934,11040,1,HR,1,100,108
1713515551.141508,483707,11488,1,HR,1,100,89
1713515551.741506,484307,11592,1,HR,1,100,91
1713515553.115501,485681,11809,1,HR,1,100,81
1713515554.195497,486761,11989,1,HR,1,100,75
1713515555.008494,487574,12125,1,HR,1,100,75
1713515555.808491,488374,12258,1,HR,1,100,75
1713515556.701488,489267,12410,1,HR,1,100,74
1713515557.261486,489827,12494,1,HR,1,100,81
1713515557.701484,490267,12579,1,HR,1,100,93
1713515558.181482,490747,12646,1,HR,1,100,100
1713515558.461481,491027,12696,1,HR,1,100,126
1713515559.154479,491720,12814,1,HR,1,100,117
1713515559.594477,492160,12883,1,HR,1,100,122
1713515560.194475,492760,12984,1,HR,1,100,117
1713515561.167472,493733,13150,1,HR,1,100,105
1713515563.580463,496146,13548,1,HR,1,100,87
1713515565.593456,498159,13865,1,HR,1,100,74
1713515567.766448,500332,14232,1,HR,1,100,64
1713515568.606445,501172,14366,1,HR,1,100,66
1713515569.460442,502026,14501,1,HR,1,100,67
1713515570.459438,503025,14665,1,HR,1,100,65
1713515571.139436,503705,14783,1,HR,1,100,70
1713515571.419435,503985,14833,1,HR,1,100,102
1713515572.713430,505279,15035,1,HR,1,100,90
1713515574.406424,506972,15317,1,HR,1,100,78
1713515576.619416,509185,15679,1,HR,1,100,67
1713515578.392410,510958,15963,1,HR,1,100,59
1713515579.992404,512558,16228,1,HR,1,100,55
1713515580.725401,513291,16346,1,HR,1,100,61
1713515582.205396,514771,16599,1,HR,1,100,56
1713515582.858394,515424,16698,1,HR,1,100,65
1713515583.298392,515864,16782,1,HR,1,100,81
1713515583.538391,516104,16818,1,HR,1,100,118
1713515584.378388,516944,16952,1,HR,1,100,108
1713515584.911386,517477,17038,1,HR,1,100,110
1713515585.511384,518077,17137,1,HR,1,100,107
1713515587.484377,520050,17470,1,HR,1,100,90
1713515588.564373,521130,17636,1,HR,1,100,83
1713515589.658370,522224,17821,1,HR,1,100,77
1713515590.858365,523424,18019,1,HR,1,100,71
1713515591.431363,523997,18120,1,HR,1,100,79
1713515591.871361,524437,18187,1,HR,1,100,92
1713515592.511359,525077,18293,1,HR,1,100,92
1713515593.724355,526290,18492,1,HR,1,100,83
1713515594.804351,527370,18675,1,HR,1,100,77
1713515596.257346,528823,18906,1,HR,1,100,69
1713515596.577345,529143,18957,1,HR,1,100,95
1713515597.337342,529903,19094,1,HR,1,100,92
1713515597.590341,530156,19130,1,HR,1,100,127
1713515597.830340,530396,19180,1,HR,1,100,154
1713515599.430334,531996,19428,1,HR,1,100,128
1713515599.883333,532449,19514,1,HR,1,100,130
1713515600.203332,532769,19565,1,HR,1,100,143
1713515601.083328,533649,19714,1,HR,1,100,126
1713515602.256324,534822,19897,1,HR,1,100,110
1713515602.896322,535462,20017,1,HR,1,100,106
1713515603.256321,535822,20068,1,HR,1,100,120
1713515603.776319,536342,20152,1,HR,1,100,119
1713515604.309317,536875,20252,1,HR,1,100,118
1713515604.949315,537515,20353,1,HR,1,100,113
1713515606.563309,539129,20616,1,HR,1,100,96
1713515607.202307,539768,20717,1,HR,1,100,95
1713515610.096296,542662,21202,1,HR,1,100,79
1713515612.309288,544875,21546,1,HR,1,100,67
1713515613.242285,545808,21717,1,HR,1,100,67
1713515614.282281,546848,21881,1,HR,1,100,65
1713515615.015278,547581,22001,1,HR,1,100,69
1713515615.295277,547861,22051,1,HR,1,100,101
1713515616.055275,548621,22167,1,HR,1,100,96
1713515617.188271,549754,22350,1,HR,1,100,87
1713515618.268267,550834,22536,1,HR,1,100,80
1713515618.908264,551474,22637,1,HR,1,100,83
1713515619.401263,551967,22720,1,HR,1,100,92
1713515619.681262,552247,22773,1,HR,1,100,119
1713515620.081260,552647,22841,1,HR,1,100,126
1713515620.681258,553247,22939,1,HR,1,100,120
1713515621.414255,553980,23057,1,HR,1,100,112
1713515621.814254,554380,23124,1,HR,1,100,121
1713515622.414252,554980,23225,1,HR,1,100,116
1713515623.094249,555660,23350,1,HR,1,100,110
1713515623.454248,556020,23400,1,HR,1,100,122
1713515624.307245,556873,23534,1,HR,1,100,111
1713515624.988243,557554,23652,1,HR,1,100,106
1713515626.001239,558567,23818,1,HR,1,100,96
1713515627.681233,560247,24097,1,HR,1,100,82
1713515628.334231,560900,24201,1,HR,1,100,85
1713515628.774229,561340,24286,1,HR,1,100,96
1713515629.614226,562180,24420,1,HR,1,100,91
1713515631.227220,563793,24684,1,HR,1,100,79
1713515631.507219,564073,24719,1,HR,1,100,109
1713515632.440216,565006,24885,1,HR,1,100,99
1713515632.800215,565366,24935,1,HR,1,100,114
1713515633.400213,565966,25039,1,HR,1,100,111
1713515633.880211,566446,25123,1,HR,1,100,114
1713515634.573208,567139,25242,1,HR,1,100,108
1713515636.173203,568739,25489,1,HR,1,100,93
1713515637.146199,569712,25655,1,HR,1,100,86
1713515637.586197,570152,25722,1,HR,1,100,97
1713515638.426194,570992,25876,1,HR,1,100,91
1713515640.479187,573045,26206,1,HR,1,100,78
1713515641.212184,573778,26324,1,HR,1,100,79
1713515641.772182,574338,26425,1,HR,1,100,85
1713515642.692179,575258,26572,1,HR,1,100,81
1713515643.745175,576311,26743,1,HR,1,100,76
1713515644.745172,577311,26911,1,HR,1,100,72
1713515645.439169,578005,27029,1,HR,1,100,76
